Designator,Mid X,Mid Y,Rotation,Layer
D1,143.73,-102.69,0.0,bottom
D2,143.731398,-97.048716,0.0,bottom
R1,150.83,-93.64,0.0,bottom
X1,143.4225,-97.7025,0.0,top
