Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D3.0mm_FlatTop,1,RED LED,
R1,R_Box_L8.4mm_W2.5mm_P5.08mm,1,10Ω,
X1,SAINTCON-Minibadge-Simple,1,SAINTCON-Minibadge-Simple,
