Designator,Mid X,Mid Y,Rotation,Layer
D1_R,143.525298,-89.281063,0.0,bottom
D2_W,146.031771,-102.393318,270.0,bottom
D3_W,141.279599,-102.470173,270.0,bottom
R1,150.876,-102.616,180.0,bottom
R2,149.53,-91.75,0.0,bottom
X1,143.4225,-97.7025,0.0,top
